Set	Position	Affiliation	Faction	Name	Type	1d Cost	2d Cost	Min Cost	Max Cost	Rarity
Spirit of Rebellion	120	Neutral	Command	Collateral Damage	Event					Common
Spirit of Rebellion	121	Neutral	Command	Salvo	Event					Uncommon
Spirit of Rebellion	122	Neutral	Command	Suppression	Event					Common
Spirit of Rebellion	123	Neutral	Command	Aftermath	Support					Common
Spirit of Rebellion	124	Neutral	Command	Air Superiority	Support					Common
Spirit of Rebellion	125	Neutral	Command	Training	Upgrade					Uncommon
Spirit of Rebellion	126	Neutral	Command	Wingman	Upgrade					Common
Spirit of Rebellion	136	Neutral	General	Evade	Event					Common
Spirit of Rebellion	137	Neutral	General	New Orders	Event					Uncommon
Spirit of Rebellion	138	Neutral	General	Parry	Event					Common
Spirit of Rebellion	139	Neutral	General	Swiftness	Event					Common
Spirit of Rebellion	140	Neutral	General	Resolve	Support					Uncommon
Spirit of Rebellion	141	Neutral	General	Ammo Belt	Upgrade					Common
Empire at War	46	Neutral	Command	LR1K Sonic Cannon	Support					Legendary
Empire at War	47	Neutral	Command	Electrostaff	Upgrade					Rare
Empire at War	48	Neutral	Command	Natural Pilot	Upgrade					Rare
Empire at War	56	Neutral	General	Z-95 Headhunter	Support					Rare
Empire at War	57	Neutral	General	Chance Cube	Upgrade					Rare
Empire at War	58	Neutral	General	EMP Grenades	Upgrade					Rare
Empire at War	59	Neutral	General	Lead by Example	Upgrade					Rare
Empire at War	60	Neutral	General	Scatterblaster	Upgrade					Rare
Empire at War	87	Villain	General	No Survivors	Event					Common
Empire at War	88	Villain	General	Detention Center	Support					Uncommon
Empire at War	118	Neutral	Command	Covering Fire	Event					Common
Empire at War	119	Neutral	Command	Deploy Squadron	Event					Common
Empire at War	120	Neutral	Command	Fall Back	Event					Uncommon
Empire at War	121	Neutral	Command	Feint	Event					Uncommon
Empire at War	122	Neutral	Command	Flanking Maneuver	Event					Uncommon
Empire at War	123	Neutral	Command	Heat Of Battle	Event					Common
Empire at War	124	Neutral	Command	Pinned Down	Event					Common
Empire at War	125	Neutral	Command	The Day is Ours	Event					Common
Empire at War	126	Neutral	Command	Drop Zone	Support					Uncommon
Empire at War	127	Neutral	Command	Tech Team	Support					Common
Empire at War	146	Neutral	General	Dangerous Mission	Event					Common
Empire at War	147	Neutral	General	Endurance	Event					Uncommon
Empire at War	148	Neutral	General	Partnership	Event					Common
Empire at War	149	Neutral	General	Recycle	Event					Common
Empire at War	150	Neutral	General	Rend	Event					Common
Empire at War	151	Neutral	General	Roll On	Event					Common
Empire at War	152	Neutral	General	Plastoid Armor	Upgrade					Common
Two-Player Game	12	Neutral	Command	I Have You Now	Event					Starter
Two-Player Game	14	Neutral	Command	Mobilize	Event					Starter
Two-Player Game	20	Villain	General	Doubt	Event					Starter
Two-Player Game	21	Neutral	General	Parry	Event					Starter
Two-Player Game	22	Villain	General	Subjugate	Event					Starter
Two-Player Game	34	Neutral	Command	Direct Hit	Event					Starter
Two-Player Game	35	Neutral	Command	Logistics	Event					Starter
Two-Player Game	36	Neutral	Command	Recon	Event					Starter
Two-Player Game	43	Neutral	General	Evade	Event					Starter
Two-Player Game	44	Neutral	General	Flank	Event					Starter
Two-Player Game	45	Neutral	General	Sound The Alarm	Event					Starter
Legacies	137	Neutral	Command	Crash Landing	Event					Starter
Legacies	139	Neutral	Command	Locked and Loaded	Event					Common
Legacies	140	Neutral	Command	Reinforce	Event					Uncommon
Legacies	141	Neutral	Command	Strength in Numbers	Event					Common
Legacies	145	Neutral	Command	Bubble Shield	Support					Uncommon
Legacies	168	Neutral	General	Espionage	Plot	1		1	1	Uncommon
Legacies	171	Neutral	General	Profitable Connection	Plot	3		3	3	Uncommon
Rivals	2	Neutral	Command	Lobot	Character	10	13	10	13	Starter
Rivals	4	Neutral	General	Jawa Scavenger	Character	6		6	6	Starter
Rivals	13	Neutral	General	Resourceful	Event					Starter
